"STATION","Name","PPT_sp_Station","PPT_sm_Station","PPT_at_Station","PPT_wt_Station","Tmax_sp_Station","Tmax_sm_Station","Tmax_at_Station","Tmax_wt_Station","Tmin_sp_Station","Tmin_sm_Station","Tmin_at_Station","Tmin_wt_Station","Tave_sp_Station","Tave_sm_Station","Tave_at_Station","Tave_wt_Station","MSP_Station","MAP_Station","MAT_Station","MWMT_Station","MCMT_Station","TD_Station","AHM_Station","SHM_Station","Tmax_wt_Model","Tmax_sp_Model","Tmax_sm_Model","Tmax_at_Model","Tmin_wt_Model","Tmin_sp_Model","Tmin_sm_Model","Tmin_at_Model","Tave_wt_Model","Tave_sp_Model","Tave_sm_Model","Tave_at_Model","PPT_wt_Model","PPT_sp_Model","PPT_sm_Model","PPT_at_Model","MAT_Model","MWMT_Model","MCMT_Model","TD_Model","MAP_Model","MSP_Model","AHM_Model","SHM_Model"
"101023","SHAWNIGAN LK",NA,NA,NA,NA,12.4,22.6333333333333,12.5666666666667,4.1,3.4,10.1666666666667,5.4,-0.1,7.9,16.4,8.98333333333333,2,NA,NA,8.82083333333333,17.4,1.05,16.35,NA,NA,5.2,12.4,21.6,13,0.1,3.6,10.4,5.5,2.7,8,16,9.3,685,302,92,487,9,17.1,2.1,15,1566,195,12.1,87.7
"101024","NITINAT FP",NA,212,NA,NA,13.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,13.5,21.3,14.1,0.9,4,10.4,6,3.6,8.8,15.9,10.1,1333,706,228,1049,9.6,16.7,3.1,13.6,3316,474,5.9,35.2
"1010720","BEAR CREEK",725,225,1049,1306,10.2,18.6333333333333,11.8,3.93333333333333,2.63333333333333,9.23333333333333,4.96666666666667,-0.266666666666667,6.41666666666667,13.9333333333333,8.38333333333333,1.83333333333333,479,3305,7.64166666666667,14.95,1.5,13.45,5.33787191124559,31.2108559498956,4.5,10.7,19.4,12.2,-0.6,2.5,9.1,4.6,2,6.6,14.2,8.4,1187,620,199,962,7.8,15.3,1.4,13.9,2968,412,6,37.1
"1010780","BECHER BAY",NA,NA,NA,NA,13.0333333333333,20.1,14.1,8.16666666666667,5.16666666666667,10.4333333333333,6.4,2.56666666666667,9.1,15.2666666666667,10.25,5.36666666666667,NA,NA,9.99583333333333,16.2,4.95,11.25,NA,NA,8,13.4,20.1,14.2,2.4,5.4,10.8,6.7,5.2,9.4,15.4,10.4,461,203,69,344,10.1,16.1,4.7,11.4,1076,151,18.7,106.7
"1011500","CHEMAINUS",258,100,400,585,14.0666666666667,22.5666666666667,14.3,6.96666666666667,5.86666666666667,12.9666666666667,7.33333333333333,2.2,9.96666666666667,17.7666666666667,10.8166666666667,4.58333333333333,198,1343,10.7833333333333,18.65,4.05,14.6,15.4753040456689,94.1919191919192,6.4,13.6,22.2,13.9,1,4.7,11.7,6.2,3.7,9.2,17,10.1,490,223,86,342,10,17.9,3.2,14.7,1140,177,17.5,101
"1011920","CORDOVA BAY",155,69,288,400,13.7333333333333,21.6666666666667,14,7.66666666666667,5.16666666666667,10.6,6.7,2.26666666666667,9.45,16.1333333333333,10.35,4.96666666666667,139,912,10.225,16.9,4.45,12.45,22.1765350877193,121.58273381295,7.9,14,21.8,14.5,2.5,5.6,11.2,6.8,5.2,9.8,16.5,10.7,367,153,60,272,10.5,17.3,4.6,12.6,852,132,24.1,130.7
"1011922","CORDOVA BAY",158,69,285,362,13.4666666666667,21.1333333333333,13.7666666666667,7.66666666666667,5.83333333333333,11.5,7.33333333333333,2.96666666666667,9.65,16.3166666666667,10.55,5.31666666666667,138,874,10.4583333333333,17.1,4.9,12.2,23.4077040427155,123.913043478261,7.9,14,21.8,14.5,2.5,5.6,11.2,6.8,5.2,9.8,16.5,10.7,366,152,58,273,10.5,17.3,4.7,12.6,850,131,24.2,131.7
"1012010","COWICHAN BAY",201,84,303,423,13.4333333333333,21.5333333333333,14.2,6.7,4.76666666666667,11.4333333333333,6.4,1.33333333333333,9.1,16.4833333333333,10.3,4.01666666666667,164,1011,9.975,17.5,3.25,14.25,19.757665677547,106.707317073171,7.6,14.2,22.4,14.6,1.6,5.2,11.5,6.4,4.6,9.7,17,10.5,441,189,73,331,10.5,17.8,4,13.7,1035,157,19.8,113.5
"1012040","COWICHAN LAK",474,142,675,941,13.4,22.8333333333333,14.5,6.26666666666667,3.9,10.8333333333333,5.8,0.433333333333333,8.65,16.8333333333333,10.15,3.35,300,2232,9.74583333333333,18.05,2.8,15.25,8.84669952210275,60.1666666666667,5.6,13.3,23,14.1,0.3,3.8,10.6,5.4,3,8.5,16.8,9.8,802,399,122,601,9.5,17.9,2.3,15.6,1923,259,10.2,69.1
"1012055","LAKE COWICHA",441,125,614,849,13.8333333333333,23.3666666666667,14.8,6.46666666666667,3.96666666666667,10.5666666666667,5.4,0.266666666666667,8.9,16.9666666666667,10.1,3.36666666666667,275,2029,9.83333333333333,18.1,2.65,15.45,9.77493017907015,65.8181818181818,5.5,13.2,23,14,0.3,3.8,10.6,5.3,2.9,8.5,16.8,9.7,827,412,123,618,9.5,17.9,2.3,15.6,1980,265,9.8,67.5
"1012475","DISCOVERY IS",NA,NA,NA,NA,13.1666666666667,19.0333333333333,14.0666666666667,8.73333333333333,8.06666666666667,12.3,9.73333333333333,5.5,10.6166666666667,15.6666666666667,11.9,7.11666666666667,NA,NA,11.325,16.3,6.8,9.5,NA,NA,8.1,13.8,21.2,14.5,2.7,5.7,11.1,6.9,5.4,9.8,16.1,10.7,286,127,53,213,10.5,16.9,4.8,12,678,122,30.2,137.9
"1012570","DUNCAN FORES",210,80,327,449,14.2666666666667,22.7,14.9666666666667,7.26666666666667,4.16666666666667,10.7,4.6,0,9.21666666666667,16.7,9.78333333333333,3.63333333333333,169,1066,9.83333333333333,17.65,3,14.65,18.6053783614759,104.437869822485,7.4,14.3,22.7,14.6,1.4,5.1,11.8,6.4,4.4,9.7,17.2,10.5,504,227,81,359,10.5,18.1,3.8,14.3,1170,169,17.5,107.4
"1012573","DUNCAN KELVI",269,90,397,621,14.4333333333333,23.3666666666667,15.2666666666667,7.06666666666667,3.6,10.5,5.1,0.2,9.01666666666667,16.9333333333333,10.1833333333333,3.63333333333333,185,1377,9.94166666666667,17.9,3,14.9,14.4819656257565,96.7567567567567,6.5,13.7,22.5,14.1,0.8,4.5,11.3,5.9,3.6,9.1,16.9,10,566,265,88,386,9.9,17.8,3,14.8,1304,181,15.3,98.8
"1012628","EAST SOOKE A",216,71,363,495,14.2,21.8333333333333,15.1,8.13333333333333,4.23333333333333,10.1333333333333,5.63333333333333,1.4,9.21666666666667,15.9833333333333,10.3666666666667,4.76666666666667,155,1145,10.0833333333333,16.85,4.05,12.8,17.5400291120815,108.709677419355,7.3,13.2,20.5,13.9,2,4.9,10.5,6.3,4.6,9.1,15.5,10.1,479,210,70,357,9.8,16.3,4.1,12.2,1117,154,17.8,105.9
"1012655","ELK LAKE",166,73,288,384,13.8,21.9666666666667,14.2,7.43333333333333,5.1,11.0666666666667,6.93333333333333,1.96666666666667,9.45,16.5166666666667,10.5666666666667,4.7,145,911,10.3083333333333,17.45,4.15,13.3,22.2923527259422,120.344827586207,7.5,13.7,21.7,14.2,2.1,5.2,11.1,6.6,4.8,9.4,16.4,10.4,377,157,61,280,10.2,17.2,4.2,13,876,135,23.1,127.1
"1012710","ESQUIMALT HA",297,122,550,715,12.8,19.0333333333333,13.6333333333333,8.06666666666667,6.43333333333333,12.0333333333333,7.63333333333333,3.16666666666667,9.61666666666667,15.5333333333333,10.6333333333333,5.61666666666667,247,1684,10.35,16.15,5.25,10.9,12.08432304038,65.3846153846154,8,13.8,21,14.5,2.6,5.6,11.1,6.8,5.3,9.7,16,10.6,363,160,58,277,10.4,16.7,4.8,11.9,859,129,23.8,129.4
"1013051","GANGES MANSE",192,84,294,400,14.0333333333333,22.6,14.7,7.4,4.66666666666667,11.2333333333333,6.2,1.23333333333333,9.35,16.9166666666667,10.45,4.31666666666667,163,970,10.2583333333333,17.75,3.8,13.95,20.8848797250859,108.895705521472,7.1,13.8,21.9,14.2,1.6,5.1,11.5,6.5,4.4,9.5,16.7,10.3,393,186,84,300,10.2,17.6,3.8,13.7,963,174,21,100.8
"10130MN","GALIANO NORT",188,90,284,385,13.4333333333333,21.5666666666667,14.0333333333333,7.1,5.93333333333333,12.2,7.6,2.73333333333333,9.68333333333333,16.8833333333333,10.8166666666667,4.91666666666667,164,947,10.575,17.75,4.5,13.25,21.7265047518479,108.231707317073,7.3,14.1,22.2,14.4,1.6,5.3,11.9,6.6,4.4,9.7,17.1,10.5,401,200,88,319,10.4,17.9,3.9,14,1008,181,20.3,98.9
"101317","MAPLE BAY",157,72,276,358,14.4333333333333,22.4666666666667,14.7666666666667,8.7,6.8,13.4666666666667,8.33333333333333,4.06666666666667,10.6166666666667,17.9666666666667,11.55,6.38333333333333,139,863,11.6291666666667,18.95,5.1,13.85,25.0627655465431,136.330935251799,7.3,14.3,22.4,14.6,1.6,5.3,11.8,6.6,4.5,9.8,17.1,10.6,464,205,78,335,10.5,18,3.9,14.1,1082,162,18.9,110.6
"101322","ZANATTA GRAP",226,79,353,560,13.5666666666667,22.4666666666667,14,6.46666666666667,3.76666666666667,11.0333333333333,4.7,-0.0666666666666667,8.66666666666667,16.75,9.35,3.2,162,1218,9.49166666666667,18.1,2.2,15.9,16.0030103995621,111.728395061728,6.6,13.8,22.6,14.2,0.8,4.6,11.4,6,3.7,9.2,17,10.1,559,261,89,395,10,17.9,3.1,14.8,1304,184,15.3,97.5
"1013720","JAMES ISLAND",136,66,243,324,13.4666666666667,21.3333333333333,13.7333333333333,7.26666666666667,6.13333333333333,11.7,7.73333333333333,3.03333333333333,9.8,16.5166666666667,10.7333333333333,5.15,127,769,10.55,17.35,4.6,12.75,26.7230169050715,136.614173228346,7.6,13.8,21.7,14.3,2.2,5.3,11.2,6.7,4.9,9.6,16.4,10.5,352,146,59,262,10.4,17.2,4.4,12.9,819,131,24.8,131
"101402","FEIN CK",549,218,NA,968,11.1333333333333,19.3,12.4666666666667,5.3,3.3,9.06666666666667,5.33333333333333,0.6,7.21666666666667,14.1833333333333,8.9,2.95,430,NA,8.3125,15.15,1.75,13.4,NA,35.2325581395349,4.9,11,19.2,12.4,-0.1,2.9,9.2,4.9,2.4,6.9,14.2,8.6,1040,532,172,832,8,15.2,1.9,13.4,2576,362,7,42
"101405","SAN JUAN",557,141,796,1020,12.8333333333333,21.4,10.5,4.53333333333333,2.86666666666667,9.2,4.9,0.466666666666667,7.85,15.3,7.7,2.5,334,2514,8.3375,16.15,1.85,14.3,7.29415274463007,48.3532934131736,6,13.1,21,13.7,0.9,3.9,10.2,5.7,3.4,8.5,15.6,9.7,1127,607,173,890,9.3,16.4,2.9,13.5,2797,387,6.9,42.4
"101413","MEADE CK",NA,NA,NA,NA,9.6,19.0333333333333,11.2,3.8,3.13333333333333,9.66666666666667,5.3,-0.566666666666667,6.36666666666667,14.35,8.25,1.61666666666667,NA,NA,7.64583333333333,15.6,0.8,14.8,NA,NA,2.3,8.4,18.4,10.2,-2.2,1.2,8.5,3.6,0,4.8,13.5,6.9,945,493,161,728,6.3,14.8,-0.2,15.1,2328,348,7,42.6
"101414","COTTONWOOD C",NA,NA,NA,NA,12.9333333333333,23.0333333333333,13.1333333333333,NA,3.5,9.8,5.46666666666667,NA,8.21666666666667,16.4166666666667,9.3,NA,NA,NA,NA,17.8,NA,NA,NA,NA,4.5,11.9,21.9,13,-0.2,3.2,10,5,2.1,7.5,15.9,9,863,453,148,679,8.7,17.2,1.6,15.5,2143,317,8.7,54.1
"101415","HARRIS CK",733,196,1051,NA,14.2333333333333,22.5,14.7,NA,3.63333333333333,9.63333333333333,5.8,NA,8.93333333333333,16.0666666666667,10.25,NA,484,NA,NA,16.95,NA,NA,NA,35.0206611570248,6.3,13.1,20.8,13.9,1,3.9,10.1,5.8,3.6,8.5,15.4,9.8,1267,675,195,990,9.4,16.2,3.1,13.1,3127,420,6.2,38.7
"1014820","MALAHAT",220,116,366,445,12.6,22,13.3,5.93333333333333,4.36666666666667,11.8666666666667,6.66666666666667,0.933333333333333,8.48333333333333,16.9333333333333,9.98333333333333,3.43333333333333,233,1147,9.70833333333333,18.1,2.9,15.2,17.1825050857309,77.6824034334764,5.3,12.2,21.3,12.8,0.3,3.7,10.5,5.6,2.8,7.9,15.9,9.2,503,227,83,368,9,17,2.1,14.9,1181,172,16,98.7
"1014931","MAYNE ISLAND",172,80,258,339,13.8666666666667,21.7,14.3333333333333,7.56666666666667,4.96666666666667,10.5666666666667,6.43333333333333,1.9,9.41666666666667,16.1333333333333,10.3833333333333,4.73333333333333,155,849,10.1666666666667,16.9,4.15,12.75,23.7534354142128,109.032258064516,7.4,13.9,21.8,14.2,1.8,5.3,11.4,6.6,4.6,9.6,16.6,10.4,340,161,78,279,10.3,17.4,4.1,13.3,858,164,23.7,106.4
"1015638","NORTH PENDER",171,79,271,360,13.9666666666667,21.8333333333333,14.5,7.73333333333333,5.26666666666667,10.8333333333333,6.8,2.13333333333333,9.61666666666667,16.3333333333333,10.65,4.93333333333333,156,881,10.3833333333333,17.1,4.4,12.7,23.1365872115021,109.615384615385,7.5,14.1,22,14.4,1.9,5.3,11.4,6.6,4.7,9.7,16.7,10.5,333,153,73,271,10.4,17.5,4.2,13.3,830,156,24.6,112.4
"1016120","PENDER ISLAN",169,82,256,330,14.4333333333333,21.8666666666667,14.6,7.73333333333333,6.06666666666667,11.6,7.73333333333333,2.8,10.25,16.7333333333333,11.1666666666667,5.26666666666667,158,837,10.8541666666667,17.55,4.75,12.8,24.9153723616089,111.075949367089,7.6,14.1,22,14.5,2.1,5.4,11.4,6.8,4.8,9.7,16.7,10.6,323,146,69,262,10.5,17.4,4.3,13.1,800,149,25.6,117
"1016203","POINT-NO-POI",NA,NA,NA,NA,12.9666666666667,17.7,13.8,8.76666666666667,5.76666666666667,10.5666666666667,7.53333333333333,3.2,9.36666666666667,14.1333333333333,10.6666666666667,5.98333333333333,NA,NA,10.0375,14.85,5.45,9.4,NA,NA,7.5,12.9,18.8,13.8,1.9,4.7,10.2,6.3,4.7,8.8,14.5,10,778,355,110,569,9.5,15.2,4.2,11,1811,237,10.8,64.3
"1016335","PORT RENFREW",800,230,1102,1391,12.3333333333333,18.8666666666667,13.0333333333333,6.5,4.56666666666667,10.4666666666667,6.33333333333333,1.6,8.45,14.6666666666667,9.68333333333333,4.05,518,3523,9.2125,15.45,3.5,11.95,5.45344876525688,29.8262548262548,7,12.9,19.1,13.9,1.7,4.5,10.2,6.3,4.4,8.7,14.7,10.1,1337,730,219,1053,9.5,15.4,3.9,11.5,3339,473,5.8,32.5
"1016641","RACE ROCKS L",NA,NA,NA,NA,11.1333333333333,15.8333333333333,12.1666666666667,7.9,7.06666666666667,10.6,8.4,4.86666666666667,9.1,13.2166666666667,10.2833333333333,6.38333333333333,NA,NA,9.74583333333333,13.7,6.15,7.55,NA,NA,8.2,13.3,20,14.1,2.7,5.6,10.8,6.8,5.5,9.5,15.4,10.4,386,163,60,284,10.2,16.1,5,11.1,893,133,22.6,120.5
"1016780","RIVER JORDAN",432,133,687,904,12.3,18.4666666666667,13.6,8.16666666666667,4.76666666666667,9.8,6.16666666666667,1.96666666666667,8.53333333333333,14.1333333333333,9.88333333333333,5.06666666666667,309,2156,9.40416666666667,14.85,4.65,10.2,9.00007730364873,48.0582524271845,7.8,13,18.5,13.9,2.1,4.9,10.3,6.5,5,9,14.4,10.2,810,376,113,593,9.6,15.1,4.4,10.7,1892,248,10.4,61.1
"1016940","SAANICHTON C",169,79,283,377,13.3,21.2,14.0333333333333,7.46666666666667,5.36666666666667,11.3333333333333,6.73333333333333,2,9.33333333333333,16.2666666666667,10.3833333333333,4.73333333333333,153,908,10.1791666666667,17.05,4.2,12.85,22.223751835536,111.437908496732,7.4,13.8,21.8,14.3,2,5.2,11.1,6.6,4.7,9.5,16.4,10.4,384,162,65,288,10.3,17.2,4.2,13.1,899,140,22.6,123.2
"1016942","SAANICH DENS",167,74,290,378,14.6333333333333,NA,15.1333333333333,7.76666666666667,4.1,NA,5.33333333333333,1.1,9.36666666666667,NA,10.2333333333333,4.43333333333333,142,909,NA,NA,3.75,NA,NA,NA,7.8,13.9,21.7,14.5,2.4,5.5,11.1,6.7,5.1,9.7,16.4,10.6,377,159,60,280,10.5,17.1,4.6,12.5,876,134,23.3,127.7
"1016990","SALTSPRING I",222,96,322,435,13.5666666666667,21.4333333333333,14.3,7.33333333333333,5.66666666666667,12.0333333333333,7.16666666666667,1.76666666666667,9.61666666666667,16.7333333333333,10.7333333333333,4.55,193,1075,10.4083333333333,17.7,4,13.7,18.984496124031,91.7098445595855,7.4,14.1,22.1,14.4,1.8,5.3,11.6,6.6,4.6,9.7,16.9,10.5,394,187,84,301,10.4,17.7,4.1,13.6,967,174,21.1,101.3
"1016992","SALTSPRING I",218,84,318,431,13.5,21.5,13.2666666666667,6.13333333333333,3.4,9.8,4.53333333333333,0.0333333333333333,8.45,15.65,8.9,3.08333333333333,171,1051,9.02083333333333,16.45,2.5,13.95,18.0978433238186,96.1988304093567,6.5,13.4,21.6,13.7,1.3,4.8,11.2,6.2,3.9,9.1,16.4,10,407,182,82,311,9.8,17.3,3.3,14,982,170,20.2,101.7
"1016995","SALTSPRING S",186,85,297,410,13.5,21.8333333333333,13.9666666666667,6.73333333333333,5.9,13,7.8,2.06666666666667,9.7,17.4166666666667,10.8833333333333,4.4,164,978,10.6,18.35,4,14.35,21.0633946830266,111.890243902439,7,13.9,22,14.2,1.5,5.1,11.7,6.5,4.2,9.5,16.9,10.3,414,193,85,309,10.2,17.7,3.7,14,1000,174,20.2,101.6
"10169DK","SAANICH DOM",164,71,282,393,13.5666666666667,22.4,14.3333333333333,6.9,5.46666666666667,12.3666666666667,7.33333333333333,1.96666666666667,9.51666666666667,17.3833333333333,10.8333333333333,4.43333333333333,143,910,10.5416666666667,18.4,3.8,14.6,22.5732600732601,128.671328671329,7.3,13.6,21.7,14.1,1.9,5.1,11,6.5,4.6,9.3,16.3,10.3,393,170,63,289,10.1,17.2,4,13.1,914,137,22,125
"1017000","SALTSPRING V",198,85,281,391,14.0333333333333,22.3666666666667,14.4333333333333,7.63333333333333,5.7,12.1333333333333,6.83333333333333,2.06666666666667,9.86666666666667,17.25,10.6333333333333,4.85,166,955,10.65,18.15,4.25,13.9,21.6230366492147,109.33734939759,7.2,14.1,22.2,14.4,1.5,5.2,11.8,6.6,4.4,9.6,17,10.5,421,195,83,311,10.4,17.9,3.8,14,1010,172,20.2,103.8
"1017098","SATURNA CAPM",165,87,262,286,12.2333333333333,20.2,13.0333333333333,6.36666666666667,5.66666666666667,11.9666666666667,7.6,2.16666666666667,8.95,16.0833333333333,10.3166666666667,4.26666666666667,172,800,9.90416666666667,17.1,3.7,13.4,24.8802083333333,99.4186046511628,6.5,12.6,20.5,13.2,1.7,5,11.2,6.7,4.1,8.8,15.8,10,308,162,81,265,9.7,16.7,3.4,13.3,816,168,24.1,99.8
"1017099","SATURNA CAPM",164,81,240,293,12.8666666666667,20.7666666666667,13.3666666666667,6.7,5.66666666666667,11.9333333333333,7.63333333333333,2.5,9.26666666666667,16.35,10.5,4.6,152,778,10.1791666666667,17.45,3.85,13.6,25.9372322193659,114.802631578947,6.5,12.5,20.5,13.2,1.7,5,11.2,6.7,4.1,8.8,15.8,9.9,308,162,81,265,9.7,16.7,3.4,13.3,816,168,24.1,99.7
"1017101","SATURNA ISLA",166,86,227,239,12.9666666666667,20.5333333333333,13.7666666666667,7.7,7.03333333333333,12.4666666666667,8.96666666666667,4.03333333333333,10,16.5,11.3666666666667,5.86666666666667,163,718,10.9333333333333,17.3,5.5,11.8,29.1550603528319,106.134969325153,7.6,14.1,21.7,14.4,1.9,5.3,11.1,6.6,4.8,9.7,16.4,10.5,293,165,82,254,10.3,17.1,4.1,13,794,171,25.6,100.2
"1017230","SHAWNIGAN LA",240,89,377,541,13.5666666666667,22.3666666666667,14.2666666666667,6.5,4.03333333333333,11.3333333333333,5.83333333333333,0.4,8.8,16.85,10.05,3.45,178,1247,9.7875,17.8,2.85,14.95,15.8680834001604,100,6.4,13.4,22.2,13.9,0.9,4.4,11.1,6,3.7,8.9,16.6,9.9,560,234,84,398,9.8,17.6,3.1,14.5,1276,176,15.5,99.7
"1017254","SHERINGHAM P",NA,NA,NA,NA,11.9333333333333,16.7666666666667,13.4333333333333,8.63333333333333,6.4,10.4666666666667,7.96666666666667,3.86666666666667,9.16666666666667,13.6166666666667,10.7,6.25,NA,NA,9.93333333333333,14.3,5.85,8.45,NA,NA,8.1,13.1,18.8,14.1,2.3,5.1,10.3,6.6,5.2,9.1,14.6,10.3,672,301,94,490,9.8,15.3,4.6,10.6,1557,202,12.7,75.6
"1017559","SOOKE GLINZ",262,81,445,583,12.2,20.5333333333333,13,5.7,3.46666666666667,NA,5.03333333333333,0.633333333333333,7.83333333333333,NA,9.01666666666667,3.16666666666667,180,1371,NA,NA,2.7,NA,NA,NA,5.6,12.1,20.6,12.9,0.7,3.8,10.2,5.6,3.2,8,15.4,9.2,594,260,83,442,8.9,16.4,2.6,13.8,1379,181,13.7,90.6
"1017610","SOUTH PENDER",147,85,247,283,13.7,21.5,14.3,7.76666666666667,5.2,10.5333333333333,6.56666666666667,2.03333333333333,9.45,16.0166666666667,10.4333333333333,4.9,161,762,10.2,16.8,4.35,12.45,26.509186351706,104.347826086957,7.5,13.9,21.8,14.3,2.1,5.3,11.4,6.8,4.8,9.6,16.6,10.5,302,142,69,253,10.4,17.4,4.2,13.1,766,149,26.6,116.8
